Name(???),Commodities,Pesticides,MRL(mg/kg)
??,Apricot,"Endosulfan : Sum of £\,£]-endosulfan and endosulfan sulfate",0.1
??,Apricot,Omethoate,0.01
??,Apricot,Oxadiazon,0.05
??,Apricot,Oxamyl,0.5
??,Apricot,Oxyfluorfen,0.05
??,Apricot,"2,4-D",2
??,Apricot,Iprodione,10
??,Apricot,Indoxacarb,0.3
??,Apricot,Carbophenothion,0.02
??,Apricot,Captan,10
??,Apricot,Chlorfenapyr,1
??,Apricot,Chlorpropham,0.05
??,Apricot,Clofentezine,0.2
??,Apricot,Tetradifon,2
??,Apricot,Teflubenzuron,0.3
??,Apricot,Trifluralin,0.05
??,Apricot,Parathion,0.3
??,Apricot,Parathion-Methyl,0.2
??,Apricot,Paclobutrazol,0.05
??,Apricot,Permethrin(Permetrin),2
??,Apricot,Fenvalerate,10
??,Apricot,Fenbuconazole,2
??,Apricot,Fenbutatin oxide,2
??,Apricot,Propargite,7
??,Apricot,Propiconazole,1
??,Apricot,Fluazifop-butyl,0.05
??,Apricot,Flufenoxuron,2
??,Apricot,Pyraclostrobin,0.7
??,Apricot,Pyrethrins,1
??,Apricot,Pirimicarb,1
?,Artemisia,Deltamethrin,0.2
?,Artemisia,Spinetoram,0.05
?,Artemisia,Acetamiprid,0.2
?,Artemisia,Imidacloprid,0.3
?,Artemisia,Tralomethrin,0.2
?,Artemisia,Fenitrothion : MEP,0.3
?,Artemisia,Phenthoate : PAP,0.5
?,Artemisia,Fenpropathrin,0.3
?(?? ??),Artemisia(Except dry),Dinotefuran,0.3
??????,Asparagus,Diuron,2
??????,Asparagus,Dicamba,3
??????,Asparagus,Dicofol,1
??????,Asparagus,Dichlofluanid,15
??????,Asparagus,Lufenuron,0.5
??????,Asparagus,Linuron,3
??????,Asparagus,Myclobutanil,1
??????,Asparagus,Malathion,0.5
??????,Asparagus,Maleic hydrazide,25
??????,Asparagus,Metalaxyl,0.05
??????,Asparagus,Methomyl,0.5
??????,Asparagus,Methoxychlor,14
??????,Asparagus,Metribuzin,0.5
??????,Asparagus,Bentazone,0.2
??????,Asparagus,Benfuracarb,0.1
??????,Asparagus,Bistrifluron,1
??????,Asparagus,Cypermethrin,5
??????,Asparagus,Cyfluthrin,2
??????,Asparagus,Cyhalothrin,0.5
??????,Asparagus,Sethoxydim,10
??????,Asparagus,Simazine,10
??????,Asparagus,Azinphos-methyl,0.3
??????,Asparagus,Emamectin benzoate,0.05
??????,Asparagus,Ethiofencarb,2
??????,Asparagus,"Endosulfan : Sum of £\,£]-endosulfan and endosulfan sulfate",0.1
??????,Asparagus,Oxamyl,1
??????,Asparagus,"2,4-D",0.1
??????,Asparagus,Carbosulfan,0.1
??????,Asparagus,Carbofuran,0.1
??????,Asparagus,Chlorantraniliprole,0.3
??????,Asparagus,Chlorpropham,0.05
??????,Asparagus,Tetradifon,1
??????,Asparagus,Trifluralin,0.05
??????,Asparagus,Thiodicarb,0.5
??????,Asparagus,Thiobencarb,0.2
??????,Asparagus,Parathion,0.3
??????,Asparagus,Parathion-Methyl,1
??????,Asparagus,Permethrin(Permetrin),1
??????,Asparagus,Fenamiphos,0.02
??????,Asparagus,Pendimethalin,0.2
??????,Asparagus,Fenvalerate,0.5
??????,Asparagus,Fenbutatin oxide,2
??????,Asparagus,Folpet,5
??????,Asparagus,Furathiocarb,0.1
??????,Asparagus,Fluazifop-butyl,3
??????,Asparagus,Pyrethrins,1
??????,Asparagus,Pyridaryl(Pyridalyl),2
??????,Asparagus,Pirimicarb,2
?????,Assorted tropical and sub-tropical fruits,Methyl bromide : as Br ion,20
?????,Assorted tropical and sub-tropical fruits,Cadusafos,0.01
?????,Assorted tropical and sub-tropical fruits,Prochloraz,5
????,Avocado,Dicofol,1
????,Avocado,Dichlobenil,0.15
????,Avocado,Dichlofluanid,15
????,Avocado,Myclobutanil,1
????,Avocado,Malathion,0.5
????,Avocado,Maleic hydrazide,40
????,Avocado,Metalaxyl,0.2
????,Avocado,Methomyl,1
????,Avocado,Cypermethrin,2
????,Avocado,Cyhalothrin,0.5
????,Avocado,Sethoxydim,1
????,Avocado,Spirodiclofen,0.9
????,Avocado,Spirotetramat,0.6
????,Avocado,Simazine,0.25
????,Avocado,Azinphos-methyl,1
????,Avocado,Ethiofencarb,5
????,Avocado,Oxamyl,0.5
????,Avocado,Oxyfluorfen,0.05
????,Avocado,Imazalil,2
????,Avocado,"2,4-D",1
????,Avocado,Captan,5
????,Avocado,Chlorpropham,0.05
????,Avocado,Clofentezine,1
????,Avocado,Thiabendazole,10
????,Avocado,Thiodicarb,1
????,Avocado,Parathion,0.3
????,Avocado,Permethrin(Permetrin),1
????,Avocado,Fenvalerate,1
????,Avocado,Fenbutatin oxide,2
????,Avocado,Folpet,2
????,Avocado,Flupyradifurone,0.6
????,Avocado,Pyrethrins,1
????,Avocado,Pirimicarb,1
???,Balloon flower,Milbemectin,0.2
???,Balloon flower,Sethoxydim,0.05
???,Balloon flower,Azoxystrobin,0.1
???,Balloon flower,Etoxazole,0.1
???,Balloon flower,Clethodim,0.1
???,Balloon flower,Fenpyroximate,0.1
???,Balloon flower,Fluazifop-butyl,0.05
???,Balloon flower,Flufenoxuron,0.2
???,Balloon flower,Pyrimethanil,0.2
???,Balloon flower,Haloxyfop,0.1
???,Banana,Glufosinate(ammonium),0.05
???,Banana,Glyphosate,0.05
???,Banana,Nabam,0.2
???,Banana,Dimethoate,1
???,Banana,Dimethyl dithiocarbamates,2
???,Banana,Diethofencarb,0.09
???,Banana,Diuron,0.1
???,Banana,Dicofol,1
???,Banana,Dichlofluanid,15
???,Banana,Dithiocarbamates,2
???,Banana,maneb,2
???,Banana,Myclobutanil,4
???,Banana,Mancozeb,2
???,Banana,Maleic hydrazide,40
???,Banana,Metiram,2
???,Banana,Benomyl,0.2
???,Banana,Benfuracarb,0.1
???,Banana,Boscalid,0.6
???,Banana,Buprofezin,0.2
???,Banana,Bromopropylate,5
???,Banana,Bitertanol,0.5
???,Banana,Cypermethrin,2
???,Banana,Cyhalothrin,0.5
???,Banana,Saflufenacil,0.03
???,Banana,Sethoxydim,1
???,Banana,Spirotetramat,4
???,Banana,Simazine,0.2
???,Banana,Hydrogen cyanide,5
???,Banana,Abamectin,0.01
???,Banana,Acetamiprid,0.4
???,Banana,Isofenphos,0.02
???,Banana,Isopyrazam,0.06
???,Banana,Azoxystrobin,2
???,Banana,Azinphos-methyl,1
???,Banana,Aluminium phosphide(Hydrogen phosphide),0.05
???,Banana,Ethoprophos(Ethoprop),0.02
???,Banana,Ethiofencarb,5
???,Banana,Epoxiconazole,0.5
???,Banana,"Endosulfan : Sum of £\,£]-endosulfan and endosulfan sulfate",0.1
???,Banana,Omethoate,0.01
???,Banana,Oxamyl,0.2
???,Banana,Oxyfluorfen,0.05
???,Banana,Imazalil,2
???,Banana,Imidacloprid,0.01
???,Banana,Iprodione,0.02
???,Banana,Zineb,2
???,Banana,Ziram,2
???,Banana,Carbendazim,0.2
???,Banana,Carbosulfan,0.1
???,Banana,Carbofuran,0.1
???,Banana,Chlorothalonil,3
???,Banana,Chlorpropham,0.05
???,Banana,Chlorpyrifos,2
???,Banana,Clofentezine,1
???,Banana,Tebuconazole,0.05
???,Banana,Trifloxystrobin,0.05
???,Banana,Thiram,2
???,Banana,Thiamethoxam,0.02
???,Banana,Thiabendazole,3
???,Banana,Thiophanate-methyl,0.2
???,Banana,Permethrin(Permetrin),5
???,Banana,Ferbam,2
???,Banana,Fenarimol,0.5
???,Banana,Fenamiphos,0.1
???,Banana,Fenvalerate,1
???,Banana,Fenbuconazole,0.3
???,Banana,Fenbutatin oxide,5
???,Banana,Fensulfothion,0.02
???,Banana,Furathiocarb,0.1
???,Banana,Propineb,2
???,Banana,Propiconazole,0.1
???,Banana,Fluopyram,0.8
???,Banana,Fluxapyroxad,3
???,Banana,Pyraclostrobin,0.02
???,Banana,Pyrethrins,1
???,Banana,Pyrimethanil,0.1
???,Banana,Pirimicarb,1
???,Banana,Pirimiphos-ethyl,0.02
??,Barley,Glyphosate,20
??,Barley,Diquat,0.02
??,Barley,Diuron,1
??,Barley,Dicamba,0.5
??,Barley,Diclofop-methyl,0.1
??,Barley,Dichlofluanid,0.1
??,Barley,Difenoconazole,0.1
??,Barley,Linuron,0.05
??,Barley,"Lindane, £^-BHC",0.01
??,Barley,Myclobutanil,0.5
??,Barley,Malathion,2
??,Barley,Metalaxyl,0.05
??,Barley,Methomyl,0.5
??,Barley,Methoprene,5
??,Barley,Methoxychlor,2
??,Barley,Metolachlor,0.1
??,Barley,Metribuzin,0.75
??,Barley,Methiocarb,0.05
??,Barley,Benomyl,0.05
??,Barley,Bentazone,0.05
??,Barley,Benfuracarb,0.1
??,Barley,Butachlor,0.1
??,Barley,Bitertanol,0.05
??,Barley,Bifenox,0.05
??,Barley,Cypermethrin,0.5
??,Barley,Cyfluthrin,2
??,Barley,Cyhalothrin,0.2
??,Barley,Saflufenacil,0.03
??,Barley,Sulfoxaflor,0.4
??,Barley,Spinosad,1
??,Barley,Anilazine,0.2
??,Barley,Azinphos-methyl,0.2
??,Barley,Aldicarb,0.02
??,Barley,Ethalfluralin,0.05
??,Barley,Ethephon,2
??,Barley,Ethoprophos(Ethoprop),0.005
??,Barley,Ethiofencarb,0.05
??,Barley,Ethylene dibromide : EDB,0.5
??,Barley,"Endosulfan : Sum of £\,£]-endosulfan and endosulfan sulfate",0.05
??,Barley,Omethoate,0.01
??,Barley,Oxadixyl,0.1
??,Barley,Oxamyl,0.02
??,Barley,Imazalil,0.05
??,Barley,"2,4-D",0.5
??,Barley,Iprodione,2
??,Barley,Carbaryl : NAC,1
??,Barley,Carbendazim,0.05
??,Barley,Carbosulfan,0.1
??,Barley,Carbofuran,0.1
??,Barley,Carboxin,0.2
??,Barley,Captan,5
??,Barley,Quintozene,0.01
??,Barley,Chlormequat,5
??,Barley,Chlorsulfuron,0.1
??,Barley,Chlorpropham,0.05
??,Barley,Terbutryn,0.1
??,Barley,Triadimenol,0.05
??,Barley,Triadimefon,0.5
??,Barley,Tri-allate,0.05
??,Barley,Triforine,0.1
??,Barley,Trifloxystrobin,1
??,Barley,Trifluralin,0.05
??,Barley,Triflumizole,0.5
??,Barley,Thiamethoxam,0.4
??,Barley,Thiodicarb,0.5
??,Barley,Thiobencarb,0.1
??,Barley,Thiophanate-methyl,0.05
??,Barley,Thifensulfuron-methyl,0.1
??,Barley,Parathion,0.3
??,Barley,Parathion-Methyl,1
??,Barley,Permethrin(Permetrin),2
??,Barley,Fenarimol,0.3
??,Barley,Phenothrin,2
??,Barley,Fenoxaprop-ethyl,0.05
??,Barley,Pendimethalin,0.2
??,Barley,Fenvalerate,2
??,Barley,Fenbuconazole,0.2
??,Barley,Phorate,0.05
??,Barley,Phosphamidone,0.1
??,Barley,Phoxim,0.05
??,Barley,Furathiocarb,0.1
??,Barley,Propanil,0.2
??,Barley,Propiconazole,2
??,Barley,Fluxapyroxad,2
??,Barley,Pyrazophos,0.05
??,Barley,Pyrethrins,3
??,Barley,Pirimicarb,0.05
??,Barley,Pirimiphos-methyl,5
??,Barley,Pymetrozine,0.05
??,Barley,Hexaconazole,0.2
??,Beans,Daminozide,N.D.
??,Beans,Diquat,0.5
??,Beans,Dimethoate,2
??,Beans,Dicofol,0.1
??,Beans,Dicloran,20
??,Beans,Dichlofluanid,0.2
??,Beans,Malathion,0.5
??,Beans,Mevinphos,0.1
??,Beans,Metobromuron,0.2
??,Beans,Methoxychlor,14
??,Beans,Metolachlor,0.3
??,Beans,Metribuzin,0.05
??,Beans,Methyl bromide : as Br ion,50
??,Beans,Monocrotophos,0.2
??,Beans,Bentazone,0.2
??,Beans,Benfuracarb,0.2
??,Beans,BHC,0.01
??,Beans,Bitertanol,0.2
??,Beans,Cypermethrin,0.05
??,Beans,Cyfluthrin,0.5
??,Beans,Cyhalothrin,0.2
??,Beans,Cyhexatin,0.2
??,Beans,Sethoxydim,30
??,Beans,Azocyclotin,0.2
??,Beans,Azinphos-methyl,0.2
??,Beans,Alachlor,0.1
??,Beans,Aluminium phosphide(Hydrogen phosphide),0.1
??,Beans,Ethalfluralin,0.05
??,Beans,Ethiofencarb,1
??,Beans,Omethoate,0.01
??,Beans,Iprodione,0.2
??,Beans,Carbosulfan,0.2
??,Beans,Carbophenothion,0.02
??,Beans,Carbofuran,0.2
??,Beans,Carboxin,0.2
??,Beans,Captan,5
??,Beans,Chlorobenzilate,0.02
??,Beans,Chlorfenvinphos,0.05
??,Beans,Chlorpropham,0.2
??,Beans,Trifluralin,0.1
??,Beans,Thiodicarb,0.1
??,Beans,Thiobencarb,0.2
??,Beans,Parathion,0.3
??,Beans,Parathion-Methyl,1
??,Beans,Permethrin(Permetrin),0.2
??,Beans,Fenamiphos,0.05
??,Beans,Pendimethalin,0.2
??,Beans,Fenvalerate,0.5
??,Beans,Fenbutatin oxide,0.5
??,Beans,Phosphamidone,0.2
??,Beans,Furathiocarb,0.2
??,Beans,Fluxapyroxad,0.3
??,Beans,Pyrethrins,1
??(??),Beat,Lufenuron,0.3
??(??),Beat,Bistrifluron,0.5
??(??),Beat,Spinetoram,0.05
??(??),Beat,Spinosad,0.5
??(??),Beat,Indoxacarb,0.3
??(??),Beat,Chromafenozide,0.2
??(??),Beat,Chlorantraniliprole,0.2
??(?),Beet leaf,Lufenuron,3
??(?),Beet leaf,Bistrifluron,10
??(?),Beet leaf,Spinetoram,0.05
??(?),Beet leaf,Chromafenozide,2
??(?),Beet leaf,Chlorantraniliprole,7
??,Betterbur,Benfuracarb,2
??,Betterbur,Bifenthrin,1
??,Betterbur,Imidacloprid,1
??,Betterbur,Carbosulfan,2
??,Betterbur,Carbofuran,2
??,Betterbur,Pendimethalin,0.05
??,Betterbur,Furathiocarb,2
??,Betterbur,Flubendiamide,15
??,Betterbur,Pymetrozine,0.5
????,Blueberry,Glufosinate(ammonium),0.1
????,Blueberry,Deltamethrin,0.7
????,Blueberry,Dinotefuran,1
????,Blueberry,Dimethomorph,1
????,Blueberry,Methoxyfenozide,3
????,Blueberry,Metconazole,0.4
????,Blueberry,Boscalid,10
????,Blueberry,Bifenthrin,0.3
????,Blueberry,Cyantraniliprole,4
????,Blueberry,Cyhalothrin,0.1
????,Blueberry,Sulfoxaflor,1
????,Blueberry,Spinetoram,0.2
????,Blueberry,Spinosad,1
????,Blueberry,Abamectin,0.1
????,Blueberry,Acetamiprid,0.5
????,Blueberry,Emamectin benzoate,0.05
????,Blueberry,Etofenprox,5
????,Blueberry,Imidacloprid,4
????,Blueberry,Indoxacarb,2
????,Blueberry,Chlorantraniliprole,1
????,Blueberry,Clothianidin,0.05
????,Blueberry,Tralomethrin,0.7
????,Blueberry,Trifloxystrobin,10
????,Blueberry,Thiamethoxam,1
????,Blueberry,Fenitrothion : MEP,1
????,Blueberry,Fenpyrazamine,4
????,Blueberry,Fluxapyroxad,7
????,Blueberry,Pyraclostrobin,4
????,Blueberry,Pyrimethanil,8
????,Blueberry,Hexazinone,0.05
??,Bonnet bellflower,Napropamide,0.1
??,Bonnet bellflower,Difenoconazole,0.05
??,Bonnet bellflower,Myclobutanil,0.1
??,Bonnet bellflower,Benomyl,0.05
??,Bonnet bellflower,Bifenthrin,0.05
??,Bonnet bellflower,Simeconazole,0.05
??,Bonnet bellflower,Acequinocyl,0.1
??,Bonnet bellflower,Acetamiprid,0.2
??,Bonnet bellflower,Azoxystrobin,0.1
??,Bonnet bellflower,Imidacloprid,0.05
??,Bonnet bellflower,Carbendazim,0.05
??,Bonnet bellflower,Kresoxim-methyl,0.05
??,Bonnet bellflower,Chlorfenapyr,0.1
??,Bonnet bellflower,Tebuconazole,0.05
??,Bonnet bellflower,Tebufenpyrad,0.05
??,Bonnet bellflower,Trifloxystrobin,0.2
??,Bonnet bellflower,Thiophanate-methyl,0.05
??,Bonnet bellflower,Prochloraz,0.05
??,Bonnet bellflower,Fluazifop-butyl,0.05
??,Bonnet bellflower,Fluquinconazole,0.2
??,Bonnet bellflower,Pymetrozine,1
??,Bonnet bellflower,Hexaconazole,0.05
???,Bracken,Bitertanol,0.02
???,Bracken,Parathion,0.3
"?????(???, ?? ? ??)",Brassica leafy vegetables,Glufosinate(ammonium),0.05
"?????(???, ?? ? ??)",Brassica leafy vegetables,Nabam,5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Napropamide,0.1
"?????(???, ?? ? ??)",Brassica leafy vegetables,Novaluron,0.1
"?????(???, ?? ? ??)",Brassica leafy vegetables,Diazinon,0.1
"?????(???, ?? ? ??)",Brassica leafy vegetables,Deltamethrin,1
"?????(???, ?? ? ??)",Brassica leafy vegetables,Dinotefuran,3
"?????(???, ?? ? ??)",Brassica leafy vegetables,Diniconazole,0.3
"?????(???, ?? ? ??)",Brassica leafy vegetables,Dimethomorph,5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Dimethyl dithiocarbamates,5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Dichlorvos : DDVP,0.5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Dithianon,0.1
"?????(???, ?? ? ??)",Brassica leafy vegetables,Dithiocarbamates,5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Diflubenzuron,2
"?????(???, ?? ? ??)",Brassica leafy vegetables,Lepimectin,0.05
"?????(???, ?? ? ??)",Brassica leafy vegetables,Lufenuron,1
"?????(???, ?? ? ??)",Brassica leafy vegetables,maneb,5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Mandipropamid,3
"?????(???, ?? ? ??)",Brassica leafy vegetables,Mancozeb,5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Malathion,0.5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Methamidophos,2
"?????(???, ?? ? ??)",Brassica leafy vegetables,Metaflumizone,2
"?????(???, ?? ? ??)",Brassica leafy vegetables,Metalaxyl,0.5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Methomyl,3
"?????(???, ?? ? ??)",Brassica leafy vegetables,Metaldehyde,1
"?????(???, ?? ? ??)",Brassica leafy vegetables,Metiram,5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Valifenalate,1
"?????(???, ?? ? ??)",Brassica leafy vegetables,Benalaxyl,3
"?????(???, ?? ? ??)",Brassica leafy vegetables,Benomyl,2
"?????(???, ?? ? ??)",Brassica leafy vegetables,Benthiavalicarb-isopropyl,1
"?????(???, ?? ? ??)",Brassica leafy vegetables,Benfuracarb,0.3
"?????(???, ?? ? ??)",Brassica leafy vegetables,Bistrifluron,3
"?????(???, ?? ? ??)",Brassica leafy vegetables,Bifenthrin,2
"?????(???, ?? ? ??)",Brassica leafy vegetables,Cymoxanil,0.5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Cymoxanil,0.5
"?????(???, ?? ? ??)",Brassica leafy vegetables,Cyazofamid,2
"?????(???, ?? ? ??)",Brassica leafy vegetables,Cyantraniliprole,2
